seq;order_name;family_name;scientific_name;common_name_en;common_name_de
1;STRUTHIONIFORMES;Struthionidae;Struthio camelus;Common Ostrich;Strauß
2;STRUTHIONIFORMES;Struthionidae;Struthio molybdophanes;Somali Ostrich;Somalistrauß
3;RHEIFORMES;Rheidae;Rhea americana;Greater Rhea;Nandu
4;RHEIFORMES;Rheidae;Rhea pennata;Lesser Rhea;Darwinnandu
5;APTERYGIFORMES;Apterygidae;Apteryx australis;Southern Brown Kiwi;Südstreifenkiwi
6;APTERYGIFORMES;Apterygidae;Apteryx mantelli;North Island Brown Kiwi;Nordstreifenkiwi
7;APTERYGIFORMES;Apterygidae;Apteryx rowi;Okarito Kiwi;Okaritokiwi
8;APTERYGIFORMES;Apterygidae;Apteryx owenii;Little Spotted Kiwi;Zwergkiwi
9;APTERYGIFORMES;Apterygidae;Apteryx maxima;Great Spotted Kiwi;Haastkiwi
10;CASUARIIFORMES;Casuariidae;Casuarius casuarius;Southern Cassowary;Helmkasuar
11;CASUARIIFORMES;Casuariidae;Casuarius bennetti;Dwarf Cassowary;Bennettkasuar
12;CASUARIIFORMES;Casuariidae;Casuarius unappendiculatus;Northern Cassowary;Einlappenkasuar
13;CASUARIIFORMES;Casuariidae;Dromaius novaehollandiae;Emu;Emu
14;TINAMIFORMES;Tinamidae;Tinamus tao;Grey Tinamou;Taotinamu
15;TINAMIFORMES;Tinamidae;Tinamus solitarius;Solitary Tinamou;Zimttinamu
16;TINAMIFORMES;Tinamidae;Tinamus osgoodi;Black Tinamou;Schwarztinamu
17;TINAMIFORMES;Tinamidae;Tinamus major;Great Tinamou;Großtinamu
18;TINAMIFORMES;Tinamidae;Tinamus guttatus;White-throated Tinamou;Weißkehltinamu
19;TINAMIFORMES;Tinamidae;Nothocercus bonapartei;Highland Tinamou;Bergtinamu
20;TINAMIFORMES;Tinamidae;Nothocercus julius;Tawny-breasted Tinamou;Gelbbrusttinamu
21;TINAMIFORMES;Tinamidae;Nothocercus nigrocapillus;Hooded Tinamou;Kapuzentinamu
22;TINAMIFORMES;Tinamidae;Crypturellus berlepschi;Berlepsch's Tinamou;Berlepschtinamu
23;TINAMIFORMES;Tinamidae;Crypturellus cinereus;Cinereous Tinamou;Grautinamu
24;TINAMIFORMES;Tinamidae;Crypturellus soui;Little Tinamou;Brauntinamu
25;TINAMIFORMES;Tinamidae;Crypturellus ptaritepui;Tepui Tinamou;Tepuitinamu
26;TINAMIFORMES;Tinamidae;Crypturellus obsoletus;Brown Tinamou;Kastanientinamu
27;TINAMIFORMES;Tinamidae;Crypturellus undulatus;Undulated Tinamou;Wellentinamu
28;TINAMIFORMES;Tinamidae;Crypturellus transfasciatus;Pale-browed Tinamou;Brauentinamu
29;TINAMIFORMES;Tinamidae;Crypturellus strigulosus;Brazilian Tinamou;Rotkehltinamu
30;TINAMIFORMES;Tinamidae;Crypturellus duidae;Grey-legged Tinamou;Graufußtinamu
31;TINAMIFORMES;Tinamidae;Crypturellus erythropus;Red-legged Tinamou;Rotfußtinamu
32;TINAMIFORMES;Tinamidae;Crypturellus noctivagus;Yellow-legged Tinamou;Gelbfußtinamu
33;TINAMIFORMES;Tinamidae;Crypturellus atrocapillus;Black-capped Tinamou;Schwarzkappentinamu
34;TINAMIFORMES;Tinamidae;Crypturellus cinnamomeus;Thicket Tinamou;Buschtinamu
35;TINAMIFORMES;Tinamidae;Crypturellus boucardi;Slaty-breasted Tinamou;Graukehltinamu
36;TINAMIFORMES;Tinamidae;Crypturellus kerriae;Choco Tinamou;Kerrtinamu
37;TINAMIFORMES;Tinamidae;Crypturellus variegatus;Variegated Tinamou;Rotbrusttinamu
38;TINAMIFORMES;Tinamidae;Crypturellus brevirostris;Rusty Tinamou;Rosttinamu
39;TINAMIFORMES;Tinamidae;Crypturellus bartletti;Bartlett's Tinamou;Bartletttinamu
40;TINAMIFORMES;Tinamidae;Crypturellus parvirostris;Small-billed Tinamou;Kleinschnabeltinamu
41;TINAMIFORMES;Tinamidae;Crypturellus casiquiare;Barred Tinamou;Bindentinamu
42;TINAMIFORMES;Tinamidae;Crypturellus tataupa;Tataupa Tinamou;Tataupatinamu
43;TINAMIFORMES;Tinamidae;Rhynchotus rufescens;Red-winged Tinamou;Rotflügeltinamu
44;TINAMIFORMES;Tinamidae;Rhynchotus maculicollis;Huayco Tinamou;Streifenhalstinamu
45;TINAMIFORMES;Tinamidae;Nothoprocta taczanowskii;Taczanowski's Tinamou;Taczanowskitinamu
46;TINAMIFORMES;Tinamidae;Nothoprocta ornata;Ornate Tinamou;Pisaccatinamu
47;TINAMIFORMES;Tinamidae;Nothoprocta perdicaria;Chilean Tinamou;Chiletinamu
48;TINAMIFORMES;Tinamidae;Nothoprocta cinerascens;Brushland Tinamou;Cordobatinamu
49;TINAMIFORMES;Tinamidae;Nothoprocta pentlandii;Andean Tinamou;Andentinamu
50;TINAMIFORMES;Tinamidae;Nothoprocta curvirostris;Curve-billed Tinamou;Krummschnabeltinamu
51;TINAMIFORMES;Tinamidae;Nothura boraquira;White-bellied Nothura;Weißbauchtinamu
52;TINAMIFORMES;Tinamidae;Nothura minor;Lesser Nothura;Wachteltinamu
53;TINAMIFORMES;Tinamidae;Nothura darwinii;Darwin's Nothura;Darwintinamu
54;TINAMIFORMES;Tinamidae;Nothura maculosa;Spotted Nothura;Fleckentinamu
55;TINAMIFORMES;Tinamidae;Taoniscus nanus;Dwarf Tinamou;Pfauentinamu
56;TINAMIFORMES;Tinamidae;Eudromia elegans;Elegant Crested Tinamou;Perltinamu
57;TINAMIFORMES;Tinamidae;Eudromia formosa;Quebracho Crested Tinamou;Schmucktinamu
58;TINAMIFORMES;Tinamidae;Tinamotis pentlandii;Puna Tinamou;Punatinamu
59;TINAMIFORMES;Tinamidae;Tinamotis ingoufi;Patagonian Tinamou;Patagonientinamu
60;ANSERIFORMES;Anhimidae;Anhima cornuta;Horned Screamer;Hornwehrvogel
61;ANSERIFORMES;Anhimidae;Chauna chavaria;Northern Screamer;Weißwangen-Wehrvogel
62;ANSERIFORMES;Anhimidae;Chauna torquata;Southern Screamer;Halsband-Wehrvogel
63;ANSERIFORMES;Anseranatidae;Anseranas semipalmata;Magpie Goose;Spaltfußgans
64;ANSERIFORMES;Anatidae;Dendrocygna viduata;White-faced Whistling Duck;Witwenpfeifgans
65;ANSERIFORMES;Anatidae;Dendrocygna autumnalis;Black-bellied Whistling Duck;Rotschnabel-Pfeifgans
66;ANSERIFORMES;Anatidae;Dendrocygna guttata;Spotted Whistling Duck;Tüpfelpfeifgans
67;ANSERIFORMES;Anatidae;Dendrocygna arborea;West Indian Whistling Duck;Kubapfeifgans
68;ANSERIFORMES;Anatidae;Dendrocygna bicolor;Fulvous Whistling Duck;Gelbbrust-Pfeifgans
69;ANSERIFORMES;Anatidae;Dendrocygna eytoni;Plumed Whistling Duck;Gelbfuß-Pfeifgans
70;ANSERIFORMES;Anatidae;Dendrocygna arcuata;Wandering Whistling Duck;Wanderpfeifgans
71;ANSERIFORMES;Anatidae;Dendrocygna javanica;Lesser Whistling Duck;Javapfeifgans
72;ANSERIFORMES;Anatidae;Thalassornis leuconotus;White-backed Duck;Weißrücken-Pfeifgans
73;ANSERIFORMES;Anatidae;Cereopsis novaehollandiae;Cape Barren Goose;Hühnergans
74;ANSERIFORMES;Anatidae;Branta bernicla;Brant Goose;Ringelgans
75;ANSERIFORMES;Anatidae;Branta ruficollis;Red-breasted Goose;Rothalsgans
76;ANSERIFORMES;Anatidae;Branta sandvicensis;Nene;Hawaiigans
77;ANSERIFORMES;Anatidae;Branta canadensis;Canada Goose;Kanadagans
78;ANSERIFORMES;Anatidae;Branta leucopsis;Barnacle Goose;Weißwangengans
79;ANSERIFORMES;Anatidae;Branta hutchinsii;Cackling Goose;Zwergkanadagans
80;ANSERIFORMES;Anatidae;Anser indicus;Bar-headed Goose;Streifengans
81;ANSERIFORMES;Anatidae;Anser canagicus;Emperor Goose;Kaisergans
82;ANSERIFORMES;Anatidae;Anser rossii;Ross's Goose;Zwergschneegans
83;ANSERIFORMES;Anatidae;Anser caerulescens;Snow Goose;Schneegans
84;ANSERIFORMES;Anatidae;Anser anser;Greylag Goose;Graugans
85;ANSERIFORMES;Anatidae;Anser cygnoides;Swan Goose;Schwanengans
86;ANSERIFORMES;Anatidae;Anser fabalis;Taiga Bean Goose;Waldsaatgans
87;ANSERIFORMES;Anatidae;Anser brachyrhynchus;Pink-footed Goose;Kurzschnabelgans
88;ANSERIFORMES;Anatidae;Anser serrirostris;Tundra Bean Goose;Tundrasaatgans
89;ANSERIFORMES;Anatidae;Anser albifrons;Greater White-fronted Goose;Blässgans
90;ANSERIFORMES;Anatidae;Anser erythropus;Lesser White-fronted Goose;Zwerggans
91;ANSERIFORMES;Anatidae;Coscoroba coscoroba;Coscoroba Swan;Coscorobaschwan
92;ANSERIFORMES;Anatidae;Cygnus atratus;Black Swan;Schwarzschwan
93;ANSERIFORMES;Anatidae;Cygnus melancoryphus;Black-necked Swan;Schwarzhalsschwan
94;ANSERIFORMES;Anatidae;Cygnus olor;Mute Swan;Höckerschwan
95;ANSERIFORMES;Anatidae;Cygnus buccinator;Trumpeter Swan;Trompeterschwan
96;ANSERIFORMES;Anatidae;Cygnus columbianus;Tundra Swan;Zwergschwan
97;ANSERIFORMES;Anatidae;Cygnus cygnus;Whooper Swan;Singschwan
98;ANSERIFORMES;Anatidae;Stictonetta naevosa;Freckled Duck;Affengans
99;ANSERIFORMES;Anatidae;Hymenolaimus malacorhynchos;Blue Duck;Saumschnabelente
100;ANSERIFORMES;Anatidae;Tachyeres patachonicus;Flying Steamer Duck;Langflügel-Dampfschiffente
101;ANSERIFORMES;Anatidae;Tachyeres pteneres;Fuegian Steamer Duck;Magellan-Dampfschiffente
102;ANSERIFORMES;Anatidae;Tachyeres brachypterus;Falkland Steamer Duck;Falkland-Dampfschiffente
103;ANSERIFORMES;Anatidae;Tachyeres leucocephalus;Chubut Steamer Duck;Weißkopf-Dampfschiffente
104;ANSERIFORMES;Anatidae;Merganetta armata;Torrent Duck;Sturzbachente
105;ANSERIFORMES;Anatidae;Plectropterus gambensis;Spur-winged Goose;Sporngans
106;ANSERIFORMES;Anatidae;Sarkidiornis sylvicola;Comb Duck;Höckerschnabelente
107;ANSERIFORMES;Anatidae;Sarkidiornis melanotos;Knob-billed Duck;Glanzente
108;ANSERIFORMES;Anatidae;Cyanochen cyanoptera;Blue-winged Goose;Blauflügelgans
109;ANSERIFORMES;Anatidae;Alopochen aegyptiaca;Egyptian Goose;Nilgans
110;ANSERIFORMES;Anatidae;Alopochen mauritiana;Mauritius Sheldgoose;Mauritiusgans
111;ANSERIFORMES;Anatidae;Alopochen kervazoi;Reunion Sheldgoose;Réuniongans
112;ANSERIFORMES;Anatidae;Neochen jubata;Orinoco Goose;Orinokogans
113;ANSERIFORMES;Anatidae;Chloephaga melanoptera;Andean Goose;Andengans
114;ANSERIFORMES;Anatidae;Chloephaga picta;Upland Goose;Magellangans
115;ANSERIFORMES;Anatidae;Chloephaga hybrida;Kelp Goose;Kelpgans
116;ANSERIFORMES;Anatidae;Chloephaga poliocephala;Ashy-headed Goose;Graukopfgans
117;ANSERIFORMES;Anatidae;Chloephaga rubidiceps;Ruddy-headed Goose;Rotkopfgans
118;ANSERIFORMES;Anatidae;Radjah radjah;Radjah Shelduck;Radjahgans
119;ANSERIFORMES;Anatidae;Tadorna tadorna;Common Shelduck;Brandgans
120;ANSERIFORMES;Anatidae;Tadorna ferruginea;Ruddy Shelduck;Rostgans
121;ANSERIFORMES;Anatidae;Tadorna cana;South African Shelduck;Kapgans
122;ANSERIFORMES;Anatidae;Tadorna tadornoides;Australian Shelduck;Halsbandgans
123;ANSERIFORMES;Anatidae;Tadorna variegata;Paradise Shelduck;Paradiesgans
124;ANSERIFORMES;Anatidae;Tadorna cristata;Crested Shelduck;Schopfgans
125;ANSERIFORMES;Anatidae;Malacorhynchus membranaceus;Pink-eared Duck;Rosenohrente
126;ANSERIFORMES;Anatidae;Salvadorina waigiuensis;Salvadori's Teal;Salvadoriente
127;ANSERIFORMES;Anatidae;Cairina moschata;Muscovy Duck;Moschusente
128;ANSERIFORMES;Anatidae;Asarcornis scutulata;White-winged Duck;Weißflügelente
129;ANSERIFORMES;Anatidae;Pteronetta hartlaubii;Hartlaub's Duck;Hartlaubente
130;ANSERIFORMES;Anatidae;Aix sponsa;Wood Duck;Brautente
131;ANSERIFORMES;Anatidae;Aix galericulata;Mandarin Duck;Mandarinente
132;ANSERIFORMES;Anatidae;Chenonetta jubata;Maned Duck;Mähnenente
133;ANSERIFORMES;Anatidae;Nettapus auritus;African Pygmy Goose;Schmuckzwergente
134;ANSERIFORMES;Anatidae;Nettapus coromandelianus;Cotton Pygmy Goose;Koromandelzwergente
135;ANSERIFORMES;Anatidae;Nettapus pulchellus;Green Pygmy Goose;Smaragdzwergente
136;ANSERIFORMES;Anatidae;Amazonetta brasiliensis;Brazilian Teal;Amazonasente
137;ANSERIFORMES;Anatidae;Callonetta leucophrys;Ringed Teal;Rotschulterente
138;ANSERIFORMES;Anatidae;Lophonetta specularioides;Crested Duck;Schopfente
139;ANSERIFORMES;Anatidae;Speculanas specularis;Bronze-winged Duck;Kupferspiegelente
140;ANSERIFORMES;Anatidae;Sibirionetta formosa;Baikal Teal;Gluckente
141;ANSERIFORMES;Anatidae;Spatula querquedula;Garganey;Knäkente
142;ANSERIFORMES;Anatidae;Spatula hottentota;Blue-billed Teal;Pünktchenente
143;ANSERIFORMES;Anatidae;Spatula puna;Puna Teal;Punaente
144;ANSERIFORMES;Anatidae;Spatula versicolor;Silver Teal;Silberente
145;ANSERIFORMES;Anatidae;Spatula platalea;Red Shoveler;Fuchslöffelente
146;ANSERIFORMES;Anatidae;Spatula cyanoptera;Cinnamon Teal;Zimtente
147;ANSERIFORMES;Anatidae;Spatula discors;Blue-winged Teal;Blauflügelente
148;ANSERIFORMES;Anatidae;Spatula smithii;Cape Shoveler;Kaplöffelente
149;ANSERIFORMES;Anatidae;Spatula rhynchotis;Australasian Shoveler;Halbmond-Löffelente
150;ANSERIFORMES;Anatidae;Spatula clypeata;Northern Shoveler;Löffelente
151;ANSERIFORMES;Anatidae;Mareca strepera;Gadwall;Schnatterente
152;ANSERIFORMES;Anatidae;Mareca falcata;Falcated Duck;Sichelente
153;ANSERIFORMES;Anatidae;Mareca penelope;Eurasian Wigeon;Pfeifente
154;ANSERIFORMES;Anatidae;Mareca sibilatrix;Chiloe Wigeon;Chilepfeifente
155;ANSERIFORMES;Anatidae;Mareca americana;American Wigeon;Kanadapfeifente
156;ANSERIFORMES;Anatidae;Mareca marecula;Amsterdam Wigeon;Amsterdamente
157;ANSERIFORMES;Anatidae;Anas sparsa;African Black Duck;Schwarzente
158;ANSERIFORMES;Anatidae;Anas undulata;Yellow-billed Duck;Gelbschnabelente
159;ANSERIFORMES;Anatidae;Anas melleri;Meller's Duck;Madagaskarente
160;ANSERIFORMES;Anatidae;Anas superciliosa;Pacific Black Duck;Augenbrauenente
161;ANSERIFORMES;Anatidae;Anas laysanensis;Laysan Duck;Laysanente
162;ANSERIFORMES;Anatidae;Anas wyvilliana;Hawaiian Duck;Hawaiiente
163;ANSERIFORMES;Anatidae;Anas luzonica;Philippine Duck;Philippinenente
164;ANSERIFORMES;Anatidae;Anas poecilorhyncha;Indian Spot-billed Duck;Indien-Fleckschnabelente
165;ANSERIFORMES;Anatidae;Anas zonorhyncha;Eastern Spot-billed Duck;China-Fleckschnabelente
166;ANSERIFORMES;Anatidae;Anas platyrhynchos;Mallard;Stockente
167;ANSERIFORMES;Anatidae;Anas fulvigula;Mottled Duck;Floridaente
168;ANSERIFORMES;Anatidae;Anas rubripes;American Black Duck;Dunkelente
169;ANSERIFORMES;Anatidae;Anas diazi;Mexican Duck;Mexikoente
170;ANSERIFORMES;Anatidae;Anas capensis;Cape Teal;Fahlente
171;ANSERIFORMES;Anatidae;Anas bahamensis;White-cheeked Pintail;Bahamaente
172;ANSERIFORMES;Anatidae;Anas erythrorhyncha;Red-billed Teal;Rotschnabelente
173;ANSERIFORMES;Anatidae;Anas georgica;Yellow-billed Pintail;Spitzschwanzente
174;ANSERIFORMES;Anatidae;Anas eatoni;Eaton's Pintail;Kerguelenente
175;ANSERIFORMES;Anatidae;Anas acuta;Northern Pintail;Spießente
176;ANSERIFORMES;Anatidae;Anas crecca;Eurasian Teal;Krickente
177;ANSERIFORMES;Anatidae;Anas carolinensis;Green-winged Teal;Carolinakrickente
178;ANSERIFORMES;Anatidae;Anas flavirostris;Yellow-billed Teal;Braunkopfente
179;ANSERIFORMES;Anatidae;Anas andium;Andean Teal;Andenente
180;ANSERIFORMES;Anatidae;Anas gibberifrons;Sunda Teal;Sundaente
181;ANSERIFORMES;Anatidae;Anas albogularis;Andaman Teal;Weißkehlente
182;ANSERIFORMES;Anatidae;Anas theodori;Mascarene Teal;Mauritiusente
183;ANSERIFORMES;Anatidae;Anas gracilis;Grey Teal;Australente
184;ANSERIFORMES;Anatidae;Anas castanea;Chestnut Teal;Kastanienente
185;ANSERIFORMES;Anatidae;Anas bernieri;Bernier's Teal;Bernierente
186;ANSERIFORMES;Anatidae;Anas chlorotis;Brown Teal;Neuseelandente
187;ANSERIFORMES;Anatidae;Anas aucklandica;Auckland Teal;Aucklandente
188;ANSERIFORMES;Anatidae;Anas nesiotis;Campbell Teal;Campbellente
189;ANSERIFORMES;Anatidae;Marmaronetta angustirostris;Marbled Duck;Marmelente
190;ANSERIFORMES;Anatidae;Rhodonessa caryophyllacea;Pink-headed Duck;Rosenkopfente
191;ANSERIFORMES;Anatidae;Netta rufina;Red-crested Pochard;Kolbenente
192;ANSERIFORMES;Anatidae;Netta peposaca;Rosy-billed Pochard;Rosenschnabelente
193;ANSERIFORMES;Anatidae;Netta erythrophthalma;Southern Pochard;Rotaugenente
194;ANSERIFORMES;Anatidae;Aythya valisineria;Canvasback;Riesentafelente
195;ANSERIFORMES;Anatidae;Aythya americana;Redhead;Rotkopfente
196;ANSERIFORMES;Anatidae;Aythya ferina;Common Pochard;Tafelente
197;ANSERIFORMES;Anatidae;Aythya australis;Hardhead;Tasmanmoorente
198;ANSERIFORMES;Anatidae;Aythya innotata;Madagascar Pochard;Madagaskarmoorente
199;ANSERIFORMES;Anatidae;Aythya baeri;Baer's Pochard;Baermoorente
200;ANSERIFORMES;Anatidae;Aythya nyroca;Ferruginous Duck;Moorente
201;ANSERIFORMES;Anatidae;Aythya novaeseelandiae;New Zealand Scaup;Maoriente
202;ANSERIFORMES;Anatidae;Aythya collaris;Ring-necked Duck;Ringschnabelente
203;ANSERIFORMES;Anatidae;Aythya fuligula;Tufted Duck;Reiherente
204;ANSERIFORMES;Anatidae;Aythya marila;Greater Scaup;Bergente
205;ANSERIFORMES;Anatidae;Aythya affinis;Lesser Scaup;Kanadabergente
206;ANSERIFORMES;Anatidae;Polysticta stelleri;Steller's Eider;Scheckente
207;ANSERIFORMES;Anatidae;Camptorhynchus labradorius;Labrador Duck;Labradorente
208;ANSERIFORMES;Anatidae;Somateria fischeri;Spectacled Eider;Plüschkopfente
209;ANSERIFORMES;Anatidae;Somateria spectabilis;King Eider;Prachteiderente
210;ANSERIFORMES;Anatidae;Somateria mollissima;Common Eider;Eiderente
211;ANSERIFORMES;Anatidae;Histrionicus histrionicus;Harlequin Duck;Kragenente
212;ANSERIFORMES;Anatidae;Melanitta perspicillata;Surf Scoter;Brillenente
213;ANSERIFORMES;Anatidae;Melanitta fusca;Velvet Scoter;Samtente
214;ANSERIFORMES;Anatidae;Melanitta deglandi;White-winged Scoter;Höckersamtente
215;ANSERIFORMES;Anatidae;Melanitta stejnegeri;Stejneger's Scoter;Kamtschatkasamtente
216;ANSERIFORMES;Anatidae;Melanitta nigra;Common Scoter;Trauerente
217;ANSERIFORMES;Anatidae;Melanitta americana;Black Scoter;Pazifiktrauerente
218;ANSERIFORMES;Anatidae;Clangula hyemalis;Long-tailed Duck;Eisente
219;ANSERIFORMES;Anatidae;Bucephala albeola;Bufflehead;Büffelkopfente
220;ANSERIFORMES;Anatidae;Bucephala clangula;Common Goldeneye;Schellente
221;ANSERIFORMES;Anatidae;Bucephala islandica;Barrow's Goldeneye;Spatelente
222;ANSERIFORMES;Anatidae;Mergellus albellus;Smew;Zwergsäger
223;ANSERIFORMES;Anatidae;Lophodytes cucullatus;Hooded Merganser;Kappensäger
224;ANSERIFORMES;Anatidae;Mergus australis;New Zealand Merganser;Aucklandsäger
225;ANSERIFORMES;Anatidae;Mergus octosetaceus;Brazilian Merganser;Dunkelsäger
226;ANSERIFORMES;Anatidae;Mergus merganser;Common Merganser;Gänsesäger
227;ANSERIFORMES;Anatidae;Mergus serrator;Red-breasted Merganser;Mittelsäger
228;ANSERIFORMES;Anatidae;Mergus squamatus;Scaly-sided Merganser;Schuppensäger
229;ANSERIFORMES;Anatidae;Heteronetta atricapilla;Black-headed Duck;Kuckucksente
230;ANSERIFORMES;Anatidae;Nomonyx dominicus;Masked Duck;Maskenruderente
231;ANSERIFORMES;Anatidae;Oxyura jamaicensis;Ruddy Duck;Schwarzkopf-Ruderente
232;ANSERIFORMES;Anatidae;Oxyura ferruginea;Andean Duck;Andenruderente
233;ANSERIFORMES;Anatidae;Oxyura vittata;Lake Duck;Bindenruderente
234;ANSERIFORMES;Anatidae;Oxyura australis;Blue-billed Duck;Schwarzkinn-Ruderente
235;ANSERIFORMES;Anatidae;Oxyura maccoa;Maccoa Duck;Afrikaruderente
236;ANSERIFORMES;Anatidae;Oxyura leucocephala;White-headed Duck;Weißkopf-Ruderente
237;ANSERIFORMES;Anatidae;Biziura lobata;Musk Duck;Lappenente
238;GALLIFORMES;Megapodiidae;Alectura lathami;Australian Brushturkey;Australbuschhuhn
239;GALLIFORMES;Megapodiidae;Aepypodius arfakianus;Wattled Brushturkey;Kammbuschhuhn
240;GALLIFORMES;Megapodiidae;Aepypodius bruijnii;Waigeo Brushturkey;Braunbrust-Buschhuhn
241;GALLIFORMES;Megapodiidae;Talegalla cuvieri;Red-billed Brushturkey;Rotschnabel-Buschhuhn
242;GALLIFORMES;Megapodiidae;Talegalla fuscirostris;Black-billed Brushturkey;Schwarzschnabel-Buschhuhn
243;GALLIFORMES;Megapodiidae;Talegalla jobiensis;Collared Brushturkey;Halsband-Buschhuhn
244;GALLIFORMES;Megapodiidae;Leipoa ocellata;Malleefowl;Thermometerhuhn
245;GALLIFORMES;Megapodiidae;Macrocephalon maleo;Maleo;Hammerhuhn
246;GALLIFORMES;Megapodiidae;Eulipoa wallacei;Moluccan Megapode;Wallace-Großfußhuhn
247;GALLIFORMES;Megapodiidae;Megapodius pritchardii;Tongan Megapode;Tonga-Großfußhuhn
248;GALLIFORMES;Megapodiidae;Megapodius laperouse;Micronesian Megapode;Marianen-Großfußhuhn
249;GALLIFORMES;Megapodiidae;Megapodius nicobariensis;Nicobar Megapode;Nikobaren-Großfußhuhn
250;GALLIFORMES;Megapodiidae;Megapodius cumingii;Philippine Megapode;Philippinen-Großfußhuhn
251;GALLIFORMES;Megapodiidae;Megapodius bernsteinii;Sula Megapode;Sula-Großfußhuhn
252;GALLIFORMES;Megapodiidae;Megapodius tenimberensis;Tanimbar Megapode;Tanimbar-Großfußhuhn
253;GALLIFORMES;Megapodiidae;Megapodius freycinet;Dusky Megapode;Molukken-Großfußhuhn
254;GALLIFORMES;Megapodiidae;Megapodius geelvinkianus;Biak Scrubfowl;Biak-Großfußhuhn
255;GALLIFORMES;Megapodiidae;Megapodius eremita;Melanesian Megapode;Bismarck-Großfußhuhn
256;GALLIFORMES;Megapodiidae;Megapodius layardi;Vanuatu Megapode;Vanuatu-Großfußhuhn
257;GALLIFORMES;Megapodiidae;Megapodius decollatus;New Guinea Scrubfowl;Neuguinea-Großfußhuhn
258;GALLIFORMES;Megapodiidae;Megapodius reinwardt;Orange-footed Scrubfowl;Rotbein-Großfußhuhn
259;GALLIFORMES;Cracidae;Ortalis vetula;Plain Chachalaca;Braunflügelguan
260;GALLIFORMES;Cracidae;Ortalis cinereiceps;Grey-headed Chachalaca;Graukopfguan
261;GALLIFORMES;Cracidae;Ortalis garrula;Chestnut-winged Chachalaca;Rotflügelguan
262;GALLIFORMES;Cracidae;Ortalis ruficauda;Rufous-vented Chachalaca;Rotsteißguan
263;GALLIFORMES;Cracidae;Ortalis erythroptera;Rufous-headed Chachalaca;Rotkopfguan
264;GALLIFORMES;Cracidae;Ortalis wagleri;Rufous-bellied Chachalaca;Rotbauchguan
265;GALLIFORMES;Cracidae;Ortalis poliocephala;West Mexican Chachalaca;Graubrustguan
266;GALLIFORMES;Cracidae;Ortalis canicollis;Chaco Chachalaca;Chacoguan
267;GALLIFORMES;Cracidae;Ortalis leucogastra;White-bellied Chachalaca;Weißbauchguan
268;GALLIFORMES;Cracidae;Ortalis guttata;Speckled Chachalaca;Tüpfelguan
269;GALLIFORMES;Cracidae;Ortalis araucuan;East Brazilian Chachalaca;Ostbrasilienguan
270;GALLIFORMES;Cracidae;Ortalis squamata;Scaled Chachalaca;Schuppenguan
271;GALLIFORMES;Cracidae;Ortalis columbiana;Colombian Chachalaca;Kolumbienguan
272;GALLIFORMES;Cracidae;Ortalis motmot;Little Chachalaca;Motmotguan
273;GALLIFORMES;Cracidae;Ortalis ruficeps;Chestnut-headed Chachalaca;Maronenkopfguan
274;GALLIFORMES;Cracidae;Ortalis superciliaris;Buff-browed Chachalaca;Gelbbrauenguan
275;GALLIFORMES;Cracidae;Penelope argyrotis;Band-tailed Guan;Bindenschwanzguan
276;GALLIFORMES;Cracidae;Penelope barbata;Bearded Guan;Bartguan
277;GALLIFORMES;Cracidae;Penelope ortoni;Baudo Guan;Ortonguan
278;GALLIFORMES;Cracidae;Penelope montagnii;Andean Guan;Andenguan
279;GALLIFORMES;Cracidae;Penelope marail;Marail Guan;Marailguan
280;GALLIFORMES;Cracidae;Penelope superciliaris;Rusty-margined Guan;Weißstirnguan
281;GALLIFORMES;Cracidae;Penelope dabbenei;Red-faced Guan;Rotgesichtguan
282;GALLIFORMES;Cracidae;Penelope purpurascens;Crested Guan;Haubenguan
283;GALLIFORMES;Cracidae;Penelope perspicax;Cauca Guan;Caucaguan
284;GALLIFORMES;Cracidae;Penelope albipennis;White-winged Guan;Weißschwingenguan
285;GALLIFORMES;Cracidae;Penelope jacquacu;Spix's Guan;Spixguan
286;GALLIFORMES;Cracidae;Penelope obscura;Dusky-legged Guan;Bronzeguan
287;GALLIFORMES;Cracidae;Penelope bridgesi;Yungas Guan;Yungasguan
288;GALLIFORMES;Cracidae;Penelope pileata;White-crested Guan;Weißschopfguan
289;GALLIFORMES;Cracidae;Penelope ochrogaster;Chestnut-bellied Guan;Rotbrustguan
290;GALLIFORMES;Cracidae;Penelope jacucaca;White-browed Guan;Weißbrauenguan
291;GALLIFORMES;Cracidae;Pipile pipile;Trinidad Piping Guan;Trinidadguan
292;GALLIFORMES;Cracidae;Pipile cumanensis;Blue-throated Piping Guan;Blaukehlguan
293;GALLIFORMES;Cracidae;Pipile grayi;White-throated Piping Guan;Blasskehlguan
294;GALLIFORMES;Cracidae;Pipile cujubi;Red-throated Piping Guan;Rotkehlguan
295;GALLIFORMES;Cracidae;Pipile jacutinga;Black-fronted Piping Guan;Schwarzmaskenguan
296;GALLIFORMES;Cracidae;Aburria aburri;Wattled Guan;Lappenguan
297;GALLIFORMES;Cracidae;Chamaepetes unicolor;Black Guan;Schwarzguan
298;GALLIFORMES;Cracidae;Chamaepetes goudotii;Sickle-winged Guan;Sichelguan
299;GALLIFORMES;Cracidae;Penelopina nigra;Highland Guan;Schluchtenguan
300;GALLIFORMES;Cracidae;Oreophasis derbianus;Horned Guan;Zapfenguan
